username,timestamp,content,likes,retweets,replies,hashtags,mentions,tfidf_signal,sentiment,engagement,composite_signal
user_intraday_9,2025-11-05 10:59:42.128692+00:00,strong move in #intraday looks neutral traders expect down,498,96,5,['intraday'],[],0.7805073244702759,1.0,0.945364238410596,0.90673935362917
user_intraday_10,2025-11-05 10:59:42.128692+00:00,short term intraday neutral intraday traders down today,295,49,45,['intraday'],[],0.5009429967843071,0.0,0.5314569536423841,0.25352289407796125
user_intraday_11,2025-11-05 10:59:42.128692+00:00,strong move in #intraday looks bullish traders expect up,338,58,49,['intraday'],[],0.3244970907359705,1.0,0.6175496688741722,0.6915538031818055
user_intraday_14,2025-11-05 10:59:42.128692+00:00,short term intraday bullish intraday traders up today,181,53,42,['intraday'],[],0.15001540003751068,0.0,0.3493377483443708,0.09493993484944135
user_intraday_16,2025-11-05 10:59:42.128692+00:00,#intraday showing neutral momentum watch levels price likely up,236,97,17,['intraday'],[],0.42973826558275074,0.0,0.5132450331125827,0.2232198095443586
user_intraday_17,2025-11-05 10:59:42.128692+00:00,short term intraday neutral intraday traders up today,431,196,49,['intraday'],[],0.5009429967843071,0.0,1.0,0.3003771987137228
user_intraday_20,2025-11-05 10:59:42.128692+00:00,#intraday showing neutral momentum watch levels price likely down,335,127,25,['intraday'],[],0.42973826558275074,0.0,0.7268211920529801,0.24457742543839833
user_intraday_23,2025-11-05 10:59:42.128692+00:00,#intraday showing bearish momentum watch levels price likely down,70,130,31,['intraday'],[],0.4674328268754049,0.0,0.29304635761589404,0.21627776651175137
user_intraday_26,2025-11-05 10:59:42.128692+00:00,market chatter about #intraday bearish volume rising,270,64,35,['intraday'],[],0.7923348665806093,0.0,0.5149006622516556,0.3684240128574093
user_intraday_29,2025-11-05 10:59:42.128692+00:00,market chatter about #intraday bullish volume rising,1,184,46,['intraday'],[],0.6042491031500132,0.0,0.26821192052980136,0.26852083331298543
user_banknifty_0,2025-11-05 10:59:42.136926+00:00,strong move in #banknifty looks neutral traders expect up,379,70,15,['banknifty'],[],0.8499677293049656,1.0,0.705298013245033,0.9105168930464895
user_banknifty_1,2025-11-05 10:59:42.136926+00:00,#banknifty showing bullish momentum watch levels price likely up,377,26,43,['banknifty'],[],0.5364049629843457,0.0,0.6291390728476821,0.2774758924785065
user_banknifty_2,2025-11-05 10:59:42.136926+00:00,market chatter about #banknifty neutral volume rising,16,7,5,['banknifty'],[],0.49105970772684293,0.0,0.0,0.1964238830907372
user_banknifty_5,2025-11-05 10:59:42.136926+00:00,strong move in #banknifty looks bearish traders expect down,388,40,44,['banknifty'],[],0.7157793314798947,1.0,0.6705298013245032,0.8533647127244083
user_banknifty_6,2025-11-05 10:59:42.136926+00:00,short term banknifty bearish intraday traders down today,142,39,13,['banknifty'],[],0.5170039337002047,0.0,0.26158940397350994,0.23296051387743288
user_banknifty_9,2025-11-05 10:59:42.136926+00:00,strong move in #banknifty looks neutral traders expect down,498,96,5,['banknifty'],[],0.8499677293049656,1.0,0.945364238410596,0.9345235155630459
user_banknifty_10,2025-11-05 10:59:42.136926+00:00,short term banknifty neutral intraday traders down today,295,49,45,['banknifty'],[],0.4842613306113883,0.0,0.5314569536423841,0.24685022760879374
user_banknifty_11,2025-11-05 10:59:42.136926+00:00,strong move in #banknifty looks bullish traders expect up,338,58,49,['banknifty'],[],0.39660861715357687,1.0,0.6175496688741722,0.7203984137488479
user_banknifty_14,2025-11-05 10:59:42.136926+00:00,short term banknifty bullish intraday traders up today,181,53,42,['banknifty'],[],0.4260853354693298,0.0,0.3493377483443708,0.205367909022169
user_banknifty_16,2025-11-05 10:59:42.136926+00:00,#banknifty showing neutral momentum watch levels price likely up,236,97,17,['banknifty'],[],0.374009824305384,0.0,0.5132450331125827,0.2009284330334119
user_banknifty_17,2025-11-05 10:59:42.136926+00:00,short term banknifty neutral intraday traders up today,431,196,49,['banknifty'],[],0.4842613306113883,0.0,1.0,0.29370453224455534
user_banknifty_20,2025-11-05 10:59:42.136926+00:00,#banknifty showing neutral momentum watch levels price likely down,335,127,25,['banknifty'],[],0.374009824305384,0.0,0.7268211920529801,0.22228604892745163
user_banknifty_23,2025-11-05 10:59:42.136926+00:00,#banknifty showing bearish momentum watch levels price likely down,70,130,31,['banknifty'],[],0.4141492045474836,0.0,0.29304635761589404,0.19496431758058286
user_banknifty_26,2025-11-05 10:59:42.136926+00:00,market chatter about #banknifty bearish volume rising,270,64,35,['banknifty'],[],0.2753409669089025,0.0,0.5149006622516556,0.16162645298872658
user_banknifty_29,2025-11-05 10:59:42.136926+00:00,market chatter about #banknifty bullish volume rising,1,184,46,['banknifty'],[],0.4069825525458718,0.0,0.26821192052980136,0.18961421307132886
